DateTime,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),holdings,Assets Under Management
10/15/2021,ProShares Bitcoin ETF,BITO,40,40,0,0,0,0
10/18/2021,ProShares Bitcoin ETF,BITO,40,40,0,0,500,20000040
10/19/2021,ProShares Bitcoin ETF,BITO,41.9527,40,4.88175,1.9527,13610,570976289
10/20/2021,ProShares Bitcoin ETF,BITO,43.2615,41.9527,3.1197,1.3088,25620,1108359673
10/21/2021,ProShares Bitcoin ETF,BITO,40.7586,43.2615,-5.78551,-2.5029,29670,1209307703
10/22/2021,ProShares Bitcoin ETF,BITO,39.4724,40.7586,-3.15565,-1.2862,29670,1171146147
10/25/2021,ProShares Bitcoin ETF,BITO,40.5436,39.4724,2.71379,1.0712,30190,1224011325
10/26/2021,ProShares Bitcoin ETF,BITO,40.0452,40.5436,-1.22929,-0.4984,29560,1183736152
10/27/2021,ProShares Bitcoin ETF,BITO,38.0649,40.0452,-4.94516,-1.9803,29680,1129766270
10/28/2021,ProShares Bitcoin ETF,BITO,39.57,38.0649,3.95404,1.5051,29760,1177603240
10/29/2021,ProShares Bitcoin ETF,BITO,40.3532,39.57,1.97928,0.7832,30360,1225123192
11/01/2021,ProShares Bitcoin ETF,BITO,39.4591,40.3532,-2.21569,-0.8941,30960,1221653775
11/02/2021,ProShares Bitcoin ETF,BITO,40.9946,39.4591,3.89137,1.5355,31310,1283540967
11/03/2021,ProShares Bitcoin ETF,BITO,40.3843,40.9946,-1.48873,-0.6103,32010,1292701483
11/04/2021,ProShares Bitcoin ETF,BITO,39.2938,40.3843,-2.70031,-1.0905,32060,1259759267
11/05/2021,ProShares Bitcoin ETF,BITO,39.3042,39.2938,0.02647,0.0104,32160,1264023111
11/08/2021,ProShares Bitcoin ETF,BITO,42.5686,39.3042,8.30547,3.2644,32360,1377519939
11/09/2021,ProShares Bitcoin ETF,BITO,43.2984,42.5686,1.71441,0.7298,32660,1414125787
11/10/2021,ProShares Bitcoin ETF,BITO,42.304,43.2984,-2.29662,-0.9944,33960,1436643882
11/11/2021,ProShares Bitcoin ETF,BITO,41.6516,42.304,-1.54217,-0.6524,33980,1415321410
11/12/2021,ProShares Bitcoin ETF,BITO,41.1271,41.6516,-1.25926,-0.5245,34000,1398321441
11/15/2021,ProShares Bitcoin ETF,BITO,40.9138,41.1271,-0.51864,-0.2133,34350,1405389071
11/16/2021,ProShares Bitcoin ETF,BITO,38.2366,40.9138,-6.54351,-2.6772,34750,1328721888
11/17/2021,ProShares Bitcoin ETF,BITO,38.7259,38.2366,1.27966,0.4893,36750,1423176864
11/18/2021,ProShares Bitcoin ETF,BITO,37.1462,38.7259,-4.07918,-1.5797,36850,1368837507
11/19/2021,ProShares Bitcoin ETF,BITO,37.0776,37.1462,-0.18468,-0.0686,38050,1410802717
11/22/2021,ProShares Bitcoin ETF,BITO,35.7187,37.0776,-3.66502,-1.3589,38070,1359810945
11/23/2021,ProShares Bitcoin ETF,BITO,37.0103,35.7187,3.61603,1.2916,37530,1388996596
11/24/2021,ProShares Bitcoin ETF,BITO,36.6721,37.0103,-0.9138,-0.3382,37530,1376303950
11/26/2021,ProShares Bitcoin ETF,BITO,34.5275,36.6721,-5.84804,-2.1446,37530,1295817110
11/29/2021,ProShares Bitcoin ETF,BITO,37.0814,34.5275,7.39671,2.5539,38830,1439870799
11/30/2021,ProShares Bitcoin ETF,BITO,36.6373,37.0814,-1.19764,-0.4441,39130,1433617586
12/01/2021,ProShares Bitcoin ETF,BITO,36.1379,36.6373,-1.36309,-0.4994,39800,1438288456
12/02/2021,ProShares Bitcoin ETF,BITO,36.2459,36.1379,0.29886,0.108,39800,1442586856
12/03/2021,ProShares Bitcoin ETF,BITO,33.9453,36.2459,-6.3472,-2.3006,40100,1361206564
12/06/2021,ProShares Bitcoin ETF,BITO,31.0463,33.9453,-8.54021,-2.899,40420,1254891477
12/07/2021,ProShares Bitcoin ETF,BITO,32.0749,31.0463,3.31312,1.0286,40820,1309297450
12/08/2021,ProShares Bitcoin ETF,BITO,32.2757,32.0749,0.62603,0.2008,41120,1327176816
12/09/2021,ProShares Bitcoin ETF,BITO,30.2152,32.2757,-6.38406,-2.0605,41320,1248492094
12/10/2021,ProShares Bitcoin ETF,BITO,30.7191,30.2152,1.6677,0.5039,41260,1267470097
