Date,GLD Close,LBMA Gold Price,NAV per GLD in Gold,NAV/share at 10.30 a.m. NYT,Indicative Price of GLD at 4.15 p.m. NYT,Mid point of bid/ask spread at 4.15 p.m. NYT#,Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT,Daily Share Volume,Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT,Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT,Total Net Asset Value in the Trust
18-Nov-04,44.38,$442.00,100,44.2,44.305,$44.37,0.15%,5992000,260000,8.09,1.15E+08
19-Nov-04,44.78,$445.60,99.9989,44.55951,44.694,$44.78,0.19%,11655000,1859994.06,57.85,8.29E+08
22-Nov-04,44.75,$447.80,99.9956,44.77804,44.903,$44.95,0.11%,11976800,2799952.98,87.09,1.25E+09
23-Nov-04,45.05,$448.15,99.9945,44.81255,44.812,$44.74,-0.16%,3139000,2799952.98,87.09,1.25E+09
24-Nov-04,45.05,$448.60,99.9934,44.85706,44.952,$45.00,0.10%,6052700,3099933.3,96.42,1.39E+09
25-Nov-04,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
26-Nov-04,45.4,$451.00,99.9912,45.09607,45.191,$45.28,0.20%,3058200,3229921.97,100.46,1.46E+09
29-Nov-04,45.12,$451.25,99.9879,45.11958,45.349,$45.39,0.09%,3758800,3329909.96,103.57,1.50E+09
30-Nov-04,45.38,$453.40,99.9869,45.33408,45.139,$45.11,-0.06%,3859100,3329909.96,103.57,1.51E+09
1-Dec-04,44.95,$452.85,99.9858,45.27858,45.368,$45.39,0.05%,3857500,3329909.96,103.57,1.51E+09
2-Dec-04,45.6,$454.20,99.9847,45.41307,44.948,$44.97,0.04%,6457800,3329699.18,103.56,1.51E+09
3-Dec-04,45.17,$448.65,99.9835,44.85763,45.627,$45.60,-0.07%,4192300,3329699.18,103.56,1.49E+09
6-Dec-04,45.11,$453.05,99.9803,45.29611,45.196,$45.18,-0.05%,3102400,3329699.18,103.56,1.51E+09
7-Dec-04,44.01,$451.80,99.9792,45.17063,45.075,$45.09,0.03%,3797300,2829802.88,88.02,1.28E+09
